,Unnamed: 0,Setor,Subsetor,Produto,Quantidade (Kg) - jan. /2020,Valor (US$) - jan. / 2020,Quantidade (Kg) - fev. / 2020,Valor (US$) - fev. / 2020,Quantidade (Kg) mar. / 2020,Valor (US$) mar. / 2020,Quantidade (Kg) abr. / 2020,Valor (US$) abr. / 2020,Quantidade (Kg) mai. / 2020,Valor (US$) mai. / 2020,Quantidade (Kg) jun. / 2020,Valor (US$) jun. / 2020,Quantidade (Kg) jul. / 2020,Valor (US$) jul. / 2020,Quantidade (Kg) ago. / 2020,Valor (US$) ago. / 2020,Quantidade (Kg) set. / 2020,Valor (US$) set. / 2020,Quantidade (Kg) out. / 2020,Valor (US$) out. / 2020,Quantidade (Kg) nov. / 2020,Valor (US$) nov. / 2020,Quantidade (Kg) dez. / 2020 ,Valor (US$) dez. / 2020
240,240,L�CTEOS,IOGURTE E LEITELHO,IOGURTE,25.587,39.538,24.691,37.670,29.470,45.389,26.566,40.954,27.004,37.206,23.013,35.702,25.308,35.497,22.701,31.189,22.029,32.053,24.553,37.235,26.082,34.390,31.210,47.578
241,241,L�CTEOS,IOGURTE E LEITELHO,LEITELHO,46.590,57.172,36.695,44.484,46.229,56.127,40.633,47.193,37.922,42.165,40.016,40.872,32.487,33.518,33.506,34.828,37.193,38.938,33.942,35.483,33.406,34.719,35.171,35.317
242,242,L�CTEOS,LEITE CONDENSADO E CREME DE LEITE,CREME DE LEITE,766.568,1.883.863,686.931,1.663.427,430.808,978.261,372.631,842.096,560.853,1.313.831,344.369,758.128,708.376,1.478.185,1.076.049,2.040.751,858.826,1.638.154,428.884,821.304,753.156,1.576.672,684.716,1.524.857
243,243,L�CTEOS,LEITE CONDENSADO E CREME DE LEITE,LEITE CONDENSADO,483.358,811.000,512.591,780.622,1.325.647,2.146.967,690.149,1.173.136,1.218.260,1.974.317,1.036.868,1.729.155,1.121.043,1.748.673,803.022,1.241.894,759.137,1.291.062,1.520.352,2.441.091,775.958,1.344.684,1.020.698,1.699.488
244,244,L�CTEOS,LEITE FLUIDO E LEITE EM P�,LEITE EM P�,1.025.692,3.147.660,26.616,44.462,16.176,35.033,14.789,17.570,18.826,40.913,33.757,114.755,16.158,35.470,9.360,15.168,9.961,16.632,54.443,153.198,54.087,133.176,13.075,37.666
245,245,L�CTEOS,LEITE FLUIDO E LEITE EM P�,LEITE FLUIDO,140.991,113.523,184.395,129.858,177.794,127.450,420.263,212.168,179.658,104.823,171.643,106.036,123.860,85.729,172.755,107.517,250.942,136.122,182.406,104.784,372.787,171.425,260.193,137.682
246,246,L�CTEOS,MANTEIGA E DEMAIS GORDURAS L�CTEAS,DEMAIS GORDURAS L�CTEAS,47,316,97,1.329,18,105,108,497,57,274,60,339,71,297,95,517,44,273,61,466,44,241,73,588
247,247,L�CTEOS,MANTEIGA E DEMAIS GORDURAS L�CTEAS,MANTEIGA,12.436,84.938,56.419,252.313,32.057,147.796,5.770,42.668,5.300,29.103,25.338,103.428,27.843,118.004,50.992,207.752,21.407,87.035,50.573,189.387,10.896,49.739,25.507,118.304
248,248,L�CTEOS,QUEIJOS,QUEIJOS,307.144,1.500.258,228.075,1.285.810,338.242,1.704.874,214.876,1.180.390,185.192,822.590,358.527,1.513.755,566.931,2.158.452,493.844,2.000.079,404.500,1.718.499,311.454,1.439.174,351.851,1.718.753,383.015,1.841.053
249,249,L�CTEOS,SORO DE LEITE,SORO DE LEITE,21.017,22.381,22,34,50.254,32.719,25.052,16.329,25,25,40.469,35.068,25.050,24.695,49.043,75.354,50.109,32.590,82,97,8.805,7.133,79.082,72.722
